"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"35196-12362","C","DeMarcus","DeMarcus Cousins","Cousins","37.49666748046875","30","3500","GS@HOU","GS","HOU","O","Quadriceps","","",""
"35196-23248","SG","RJ","RJ Hunter","Hunter","28.100000381469727","1","3500","MIL@BOS","BOS","MIL","","","","",""
"35196-101331","SF","Gary","Gary Clark","Clark","8.729412004059435","51","3500","GS@HOU","HOU","GS","","","","",""
"35196-85586","PF","Marcus","Marcus Derrickson","Derrickson","5.736363497647372","11","3500","GS@HOU","GS","HOU","","","","",""
"35196-48598","SF","Semi","Semi Ojeleye","Ojeleye","6.191071646554129","56","3500","MIL@BOS","BOS","MIL","","","","",""
"35196-84697","SG","Jacob","Jacob Evans","Evans","3.9166666666666665","30","3500","GS@HOU","GS","HOU","","","","",""
"35196-15582","PG","Quinn","Quinn Cook","Cook","11.991892221811655","74","3500","GS@HOU","GS","HOU","","","","",""
"35196-9570","C","Pau","Pau Gasol","Gasol","13.47999979654948","30","3500","MIL@BOS","MIL","BOS","GTD","Ankle","","",""
"35196-84708","C","Robert","Robert Williams III","Williams III","10.178125381469727","32","3500","MIL@BOS","BOS","MIL","","","","",""
"35196-84712","SF","Vincent","Vincent Edwards","Edwards","2.700000047683716","2","3500","GS@HOU","HOU","GS","","","","",""
"35196-9962","PF","Jonas","Jonas Jerebko","Jerebko","14.254794186108732","73","3500","GS@HOU","GS","HOU","","","","",""
"35196-17517","SG","Tony","Tony Snell","Snell","11.39729762721706","74","3500","MIL@BOS","MIL","BOS","","","","",""
"35196-23670","SG","Marcus","Marcus Smart","Smart","23.253750610351563","80","3500","MIL@BOS","BOS","MIL","GTD","Oblique","","",""
"35196-81529","PF","Daniel","Daniel Theis","Theis","13.666666666666666","66","3500","MIL@BOS","BOS","MIL","","","","",""
"35196-9849","SF","Gerald","Gerald Green","Green","14.77260307416524","73","3500","GS@HOU","HOU","GS","","","","",""
"35196-41082","C","Damian","Damian Jones","Jones","14.875","24","3500","GS@HOU","GS","HOU","O","Pectoral","","",""
"35196-97018","PG","Chris","Chris Chiozza","Chiozza","3.1142856052943637","7","3500","GS@HOU","HOU","GS","","","","",""
