"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","Probable Pitcher","Batting Order"
"35186-5135","OF","Alex","Alex Gordon","Gordon","12.633333148378314","33","3600","KAN@HOU","KAN","HOU","","","","","3"
"35186-12593","2B","Eric","Eric Sogard","Sogard","15.959999593098958","15","3600","MIN@TOR","TOR","MIN","","","","","1"
"35186-53586","OF","David","David Peralta","Peralta","12.218182188091856","33","3600","ARI@TAM","ARI","TAM","","","","","0"
"35186-21875","OF","Max","Max Kepler","Kepler","11.132143293108259","28","3600","MIN@TOR","MIN","TOR","","","","","1"
"35186-79393","SS","Fernando","Fernando Tatis Jr.","Tatis Jr.","11.899999547887731","27","3600","NYM@SDP","SDP","NYM","IL","Hamstring","","",""
"35186-12968","1B","Paul","Paul Goldschmidt","Goldschmidt","11.179411944221048","34","3600","PHI@STL","STL","PHI","","","","",""
"35186-12113","3B","Josh","Josh Donaldson","Donaldson","11.129032258064516","31","3600","ATL@LOS","ATL","LOS","","","","",""
"35186-68586","SS","Dansby","Dansby Swanson","Swanson","11.061764885397519","34","3600","ATL@LOS","ATL","LOS","","","","",""
"35186-11322","2B","Mike","Mike Moustakas","Moustakas","11.740000406901041","30","3500","WAS@MIL","MIL","WAS","","","","","4"
"35186-5262","OF","Adam","Adam Jones","Jones","10.803125381469727","32","3500","ARI@TAM","ARI","TAM","","","","","4"
"35186-60642","OF","Michael","Michael Conforto","Conforto","11.352941176470589","34","3500","NYM@SDP","NYM","SDP","","","","",""
"35186-13706","OF","Adam","Adam Eaton","Eaton","9.931249618530273","32","3500","WAS@MIL","WAS","MIL","","","","",""
"35186-13792","2B","Kike","Kike Hernandez","Hernandez","9.355882532456341","34","3500","ATL@LOS","LOS","ATL","","","","",""
"35186-68489","OF","Dwight","Dwight Smith Jr.","Smith Jr.","12.393548780871976","31","3500","BOS@BAL","BAL","BOS","","","","","3"
"35186-52178","3B","Maikel","Maikel Franco","Franco","10.845454360499527","33","3500","PHI@STL","PHI","STL","","","","",""
"35186-11443","1B","Justin","Justin Smoak","Smoak","10.92999979654948","30","3400","MIN@TOR","TOR","MIN","","","","","4"
"35186-11129","OF","Jason","Jason Heyward","Heyward","11.5827584102236","29","3400","MIA@CHC","CHC","MIA","","","","","6"
"35186-13430","2B","Jonathan","Jonathan Villar","Villar","10.623529770795036","34","3300","BOS@BAL","BAL","BOS","","","","","1"
"35186-5263","OF","Nick","Nick Markakis","Markakis","11.29117629107307","34","3300","ATL@LOS","ATL","LOS","","","","",""
"35186-17139","C","J.T.","J.T. Realmuto","Realmuto","10.44193587764617","31","3300","PHI@STL","PHI","STL","","","","",""
"35186-12434","OF","Lorenzo","Lorenzo Cain","Cain","10.285714285714286","35","3200","WAS@MIL","MIL","WAS","DTD","Hand","","","0"
"35186-12462","1B","Mitch","Mitch Moreland","Moreland","10.365625381469727","32","3200","BOS@BAL","BOS","BAL","","","","","0"
"35186-5591","3B","Howie","Howie Kendrick","Kendrick","9.504000244140625","25","3200","WAS@MIL","WAS","MIL","","","","",""
"35186-13864","OF","Joc","Joc Pederson","Pederson","11.199999809265137","32","3200","ATL@LOS","LOS","ATL","","","","",""
"35186-16948","2B","Kolten","Kolten Wong","Wong","10.117647058823529","34","3200","PHI@STL","STL","PHI","","","","",""
